Number_Of_Cases,Street_Address,Latitude,Longitude,Cluster_Number,Recent_Cases_In_Cluster,Total_Cases_In_Cluster,Date,Month_Number
1,guillemard road,1.31127,103.8857029,17,3,12,140815,8
8,lorong 32 geylang,1.311914,103.886988,17,3,12,140815,8
2,lorong 34 geylang,1.3132409,103.8878271,17,3,12,140815,8
1,woodlands avenue 6 (block 758),1.446142,103.795342,18,1,11,140815,8
1,woodlands avenue 6 (block 760),1.446983,103.796719,18,1,11,140815,8
3,woodlands avenue 6 (block 762),1.44608,103.796239,18,1,11,140815,8
1,woodlands avenue 6 (block 763),1.4453689,103.795894,18,1,11,140815,8
3,woodlands circle (block 752),1.445309,103.794618,18,1,11,140815,8
2,woodlands circle (block 753),1.445689,103.7943559,18,1,11,140815,8
6,eng kong terrace,1.336579,103.7694869,19,2,10,140815,8
4,lorong kismis,1.337276,103.767875,19,2,10,140815,8
1,hillside drive,1.3577136,103.8773821,20,6,9,140815,8
5,sirat road,1.3576797,103.8762324,20,6,9,140815,8
3,yio chu kang road,1.391191,103.8572159,20,6,9,140815,8
8,kovan road,1.3586534,103.8813679,21,3,9,140815,8
1,lowland road,1.361446,103.883249,21,3,9,140815,8
1,lengkong tiga (block 115),1.3230831,103.9112682,22,3,9,140815,8
5,lorong marzuki,1.3224371,103.9089213,22,3,9,140815,8
3,lorong mydin,1.321216,103.9112849,22,3,9,140815,8
9,ubi avenue 1,1.3264927,103.8990721,23,2,9,140815,8
5,highland road,1.3578622,103.8788124,24,2,8,140815,8
1,jalan sahabat,1.358028,103.879544,24,2,8,140815,8
1,kovan road,1.3586534,103.8813679,24,2,8,140815,8
1,upper serangoon road,1.3576645,103.8825205,24,2,8,140815,8
1,pasir ris street 21 (block 207),1.3665369,103.9622739,25,7,7,140815,8
2,pasir ris street 21 (block 216),1.368974,103.960916,25,7,7,140815,8
2,pasir ris street 21 (block 217),1.369476,103.961,25,7,7,140815,8
1,pasir ris street 21 (block 219),1.369327,103.961705,25,7,7,140815,8
1,pasir ris street 21 (block 252),1.3680699,103.9626849,25,7,7,140815,8
4,tanah merah kechil link,1.3281965,103.9452995,26,2,7,140815,8
3,tanah merah kechil road,1.328321,103.9437672,26,2,7,140815,8
4,butterworth lane,1.3122487,103.8942099,27,4,6,140815,8
1,ipoh lane,1.3117833,103.8955874,27,4,6,140815,8
1,tanjong katong road,1.3071727,103.8955493,27,4,6,140815,8
6,simei street 3,1.3416431,103.9528772,28,5,6,140815,8
1,tampines street 33 (block 358),1.354327,103.960943,29,2,6,140815,8
1,tampines street 34 (block 361),1.356092,103.9623809,29,2,6,140815,8
1,tampines street 34 (block 362),1.3562399,103.9615435,29,2,6,140815,8
2,tampines street 34 (block 363),1.355777,103.960731,29,2,6,140815,8
1,tampines street 34,1.3561383,103.9599123,29,2,6,140815,8
1,ang mo kio avenue 4 (block 254),1.3703801,103.8345568,30,2,5,140815,8
1,ang mo kio avenue 4 (block 256),1.37063,103.8355799,30,2,5,140815,8
1,ang mo kio street 21 (block 253),1.369464,103.834662,30,2,5,140815,8
2,ang mo kio street 21 (block 253a),1.3701044,103.8341615,30,2,5,140815,8
1,chempaka avenue,1.3320058,103.8769681,31,2,5,140815,8
1,jalan gembira,1.332269,103.88058,31,2,5,140815,8
1,lichi avenue,1.3331871,103.876578,31,2,5,140815,8
2,macpherson road,1.331082,103.8785853,31,2,5,140815,8
2,choa chu kang street 51 (block 501),1.389457,103.743051,32,2,5,140815,8
2,choa chu kang street 51 (block 502),1.389082,103.743365,32,2,5,140815,8
1,choa chu kang street 51 (block 503),1.3883319,103.74232,32,2,5,140815,8
4,kampong ampat,1.3344237,103.8830503,33,1,5,140815,8
1,shaw road,1.3359116,103.8841805,33,1,5,140815,8
4,kovan road,1.3586534,103.8813679,34,5,5,140815,8
1,kovan rise,1.3586534,103.8813679,34,5,5,140815,8
1,pasir ris drive 4 (block 479),1.3751605,103.9591419,35,2,5,140815,8
1,pasir ris drive 4 (block 486),1.3743869,103.9603639,35,2,5,140815,8
2,pasir ris drive 6 (block 475),1.3742114,103.95623,35,2,5,140815,8
1,pasir ris drive 6 (block 477),1.3748783,103.9585531,35,2,5,140815,8
5,sungei tengah road,1.3881597,103.731447,36,4,5,140815,8
2,woodlands ring road (block 644),1.436853,103.801474,37,5,5,140815,8
2,woodlands ring road (block 646),1.437529,103.800409,37,5,5,140815,8
1,woodlands ring road (block 650),1.4385805,103.8006995,37,5,5,140815,8
2,ang mo kio avenue 10 (block 416),1.3645799,103.854932,38,2,4,140815,8
2,ang mo kio avenue 10 (block 418),1.364935,103.853958,38,2,4,140815,8
1,ang mo kio avenue 3 (block 120),1.3701754,103.8443359,39,3,4,140815,8
1,ang mo kio avenue 3 (block 122),1.370211,103.843297,39,3,4,140815,8
1,ang mo kio avenue 3 (block 130),1.370334,103.842153,39,3,4,140815,8
1,ang mo kio avenue 6 (block 123),1.3704809,103.8447949,39,3,4,140815,8
3,flora road,1.3597124,103.9658931,40,4,4,140815,8
1,mariam way,1.359259,103.967911,40,4,4,140815,8
2,grace walk,1.3580594,103.8696371,41,4,4,140815,8
2,tai yuan heights,1.3590662,103.8691275,41,4,4,140815,8
1,jurong west avenue 1 (block 441),1.3514268,103.7201318,42,4,4,140815,8
1,jurong west street 41 (block 459),1.350324,103.721143,42,4,4,140815,8
1,jurong west street 41 (block 461),1.349659,103.721052,42,4,4,140815,8
1,jurong west street 41 (block 466),1.349846,103.722913,42,4,4,140815,8
1,serangoon avenue 4 (block 226),1.356886,103.870712,43,2,4,140815,8
2,serangoon avenue 4 (block 228),1.35642,103.870132,43,2,4,140815,8
1,serangoon avenue 4 (block 230),1.3559769,103.869265,43,2,4,140815,8
1,rowell road,1.3085482,103.855095,44,1,3,140815,8
1,serangoon road,1.3161701,103.8588401,44,1,3,140815,8
1,veerasamy road,1.3074416,103.8543252,44,1,3,140815,8
2,bendemeer road (block 43),1.321104,103.865851,45,2,3,140815,8
1,bendemeer road (block 44),1.322123,103.8666329,45,2,3,140815,8
3,canberra drive,1.4444836,103.8273881,46,2,3,140815,8
2,choa chu kang avenue 1 (block 132),1.381074,103.750769,47,1,3,140815,8
1,teck whye lane (block 118),1.379878,103.750539,47,1,3,140815,8
2,choa chu kang avenue 2 (block 248),1.379169,103.746247,48,2,3,140815,8
1,hong san walk,1.3774637,103.745841,48,2,3,140815,8
3,choa chu kang loop,1.3864061,103.7450231,49,2,3,140815,8
1,compassvale walk (block 223d),1.389217,103.897923,50,2,3,140815,8
1,compassvale walk (block 224b),1.388193,103.89796,50,2,3,140815,8
1,compassvale walk (block 225c),1.388546,103.898937,50,2,3,140815,8
1,geylang bahru (block 60),1.3229581,103.8698959,51,3,3,140815,8
1,geylang bahru (block 61),1.322958,103.869896,51,3,3,140815,8
1,geylang bahru (block 68),1.322958,103.869896,51,3,3,140815,8
1,geylang road,1.313431,103.883767,52,3,3,140815,8
1,lorong 25a geylang,1.3151949,103.883079,52,3,3,140815,8
1,lorong 27 geylang,1.315297,103.8837269,52,3,3,140815,8
3,jalan langgar bedok,1.325773,103.950017,53,3,3,140815,8
1,jurong west street 61 (block 624),1.340769,103.69774,54,3,3,140815,8
1,jurong west street 61 (block 641),1.340733,103.696171,54,3,3,140815,8
1,jurong west street 71 (block 704),1.3411339,103.6954006,54,3,3,140815,8
1,lorong 24 geylang,1.3122157,103.8833463,55,2,3,140815,8
1,lorong 26 geylang,1.313615,103.884772,55,2,3,140815,8
1,lorong 28 geylang,1.311471,103.885631,55,2,3,140815,8
3,mattar road,1.3251128,103.882854,56,3,3,140815,8
1,merpati road (block 13),1.3274974,103.8836848,57,3,3,140815,8
1,merpati road (block 14),1.3275542,103.8832127,57,3,3,140815,8
1,merpati road,1.3276533,103.8809864,57,3,3,140815,8
1,rivervale crescent (block 158a),1.38875,103.906885,58,3,3,140815,8
1,rivervale drive (block 144),1.389168,103.90595,58,3,3,140815,8
3,senja road (block 606),1.381349,103.761581,59,2,3,140815,8
2,serangoon central drive (block 256),1.355083,103.871318,60,3,3,140815,8
1,serangoon central drive (block 263),1.354197,103.8719904,60,3,3,140815,8
1,tampines street 41 (block 416),1.35909,103.947239,61,3,3,140815,8
1,tampines street 41 (block 418),1.358232,103.947458,61,3,3,140815,8
1,tampines street 41 (block 426),1.359526,103.947916,61,3,3,140815,8
3,upper serangoon road,1.3576645,103.8825205,62,3,3,140815,8
3,verde place,1.3919905,103.7514622,63,3,3,140815,8
3,woodleigh close,1.3361726,103.8683402,64,3,3,140815,8
1,yishun street 81 (block 867),1.414101,103.8376164,65,3,3,140815,8
1,yishun street 81 (block 872),1.4136315,103.8368002,65,3,3,140815,8
1,yishun street 81 (block 873),1.415016,103.8366719,65,3,3,140815,8
1,canberra road (block 420),1.452561,103.818836,66,1,2,140815,8
1,canberra road (block 423),1.4537119,103.818214,66,1,2,140815,8
1,chai chee drive (block 55),1.3265769,103.919335,67,2,2,140815,8
1,chai chee drive (block 53),1.324714,103.919673,67,2,2,140815,8
2,chestnut avenue,1.370817,103.77682,68,2,2,140815,8
1,compassvale link (block 269b),1.383666,103.895533,69,1,2,140815,8
1,compassvale link (block 275c),1.383236,103.89396,69,1,2,140815,8
1,corporation road,1.338061,103.717015,70,2,2,140815,8
1,jurong west street 52 (block 518),1.3451381,103.7179679,70,2,2,140815,8
2,hume avenue,1.3570403,103.767339,71,1,2,140815,8
1,jalan rajah (block 104),1.328009,103.853277,72,1,2,140815,8
1,jalan rajah (block 106),1.3284328,103.8545972,72,1,2,140815,8
2,lorong 15 geylang,1.3128419,103.8783531,73,2,2,140815,8
2,loyang rise,1.363207,103.964798,74,2,2,140815,8
1,pasir ris drive 3 (block 630),1.3784496,103.9407442,75,2,2,140815,8
1,pasir ris drive 3 (block 632),1.3786645,103.9399782,75,2,2,140815,8
1,potong pasir avenue 1 (block 132),1.3342052,103.8655067,76,2,2,140815,8
1,potong pasir avenue 3 (block 134),1.334612,103.866351,76,2,2,140815,8
2,saraca terrace,1.3838344,103.8590252,77,2,2,140815,8
1,sims drive (block 44),1.3164043,103.8771131,78,2,2,140815,8
